,Product_title,Brand,Processor,Processor_Brand,RAM(GB),OS,Storage,Screen_size(inch),Price,FLipkart_price,Amazon_price,Croma_price,Ratings
4226,Lenovo Legion 5i (82AU004SIN) Laptop (15.6 Inch | Core i7 10th Gen | 8 GB | Windows 10 | 1 TB HDD 256 GB SSD),Lenovo, Core i7 10th Gen ,Intel,8, Windows 10 , 1 TB HDD 256 GB SSD,15.6,110000,NA/OOS,NA/OOS,NA/OOS,
4227,MSI PE60 7RD Laptop (15.6 Inch | Core i7 7th Gen | 16 GB | DOS | 1 TB HDD),MSI, Core i7 7th Gen ,Intel,16, DOS , 1 TB HDD,15.6,84990,NA/OOS,NA/OOS,NA/OOS,4.4
4228,ASUS ROG Zephyrus G14 GA401IH-HE044T Laptop (14 Inch | AMD Octa Core Ryzen 7 | 8 GB | Windows 10 | 512 GB SSD),ASUS, AMD Octa Core Ryzen 7 ,AMD,8, Windows 10 , 512 GB SSD,14,99990,NA/OOS,NA/OOS,NA/OOS,2.7
4229,Lenovo Ideapad Slim 3i (81WD00L1IN) Laptop (14 Inch | Core i3 10th Gen | 4 GB | Windows 10 | 256 GB SSD),Lenovo, Core i3 10th Gen ,Intel,4, Windows 10 , 256 GB SSD,14,38990,NA/OOS,NA/OOS,NA/OOS,4.6
4230,ASUS Vivobook Max X541UA-DM1358T Laptop (15.6 Inch | Core i3 7th Gen | 4 GB | Windows 10 | 1 TB HDD),ASUS, Core i3 7th Gen ,Apple,4, Windows 10 , 1 TB HDD,15.6,28990,NA/OOS,NA/OOS,NA/OOS,2.9
4231,Apple MacBook Air MD712HN/B Ultrabook (11.6 Inch | Core i5 4th Gen | 4 GB | MAC OS X Mavericks | 256 GB SSD),Apple, Core i5 4th Gen ,Intel,4, MAC OS X Mavericks , 256 GB SSD,11.6,79900,NA/OOS,NA/OOS,NA/OOS,4.5
4232,Apple MacBook Pro MV912HN/A Ultrabook (15.4 Inch | Core i9 9th Gen | 16 GB | macOS Mojave | 512 GB SSD),Apple, Core i9 9th Gen ,Intel,16, macOS Mojave , 512 GB SSD,15.4,207040,NA/OOS,NA/OOS,NA/OOS,4.6
4233,MSI GS65 8RE-084IN Laptop (15.6 Inch | Core i7 8th Gen | 16 GB | Windows 10 | 512 GB SSD),MSI, Core i7 8th Gen ,Intel,16, Windows 10 , 512 GB SSD,15.6,149990,149990,NA/OOS,NA/OOS,3.9
4234,HP 15-ay007tx (W6T44PA) Laptop (15.6 Inch | Core i5 6th Gen | 4 GB | DOS | 1 TB HDD),HP, Core i5 6th Gen ,Intel,4, DOS , 1 TB HDD,15.6,42400,NA/OOS,NA/OOS,NA/OOS,3.8
4235,HP 15-db0020nr (3WE65UA) Laptop (15.6 Inch | AMD Dual Core A6 | 4 GB | Windows 10 | 1 TB HDD),HP, AMD Dual Core A6 ,AMD,4, Windows 10 , 1 TB HDD,15.6,49000,NA/OOS,NA/OOS,NA/OOS,4.1
4236,Apple MacBook Pro MR962HN/A Ultrabook (15.4 Inch | Core i7 8th Gen | 16 GB | macOS High Sierra | 256 GB SSD),Apple, Core i7 8th Gen ,Intel,16, macOS High Sierra , 256 GB SSD,15.4,199900,NA/OOS,NA/OOS,NA/OOS,4.2
4237,Lenovo Thinkpad L490 (20Q5S0LX00) Laptop (14 Inch | Core i7 8th Gen | 8 GB | Windows 10 | 500 GB HDD),Lenovo, Core i7 8th Gen ,Intel,8, Windows 10 , 500 GB HDD,14,74990,NA/OOS,NA/OOS,NA/OOS,
4238,Dell Inspiron 14 5491 (C562514WIN9) Laptop (14 Inch | Core i5 10th Gen | 8 GB | Windows 10 | 512 GB SSD),Dell, Core i5 10th Gen ,Intel,8, Windows 10 , 512 GB SSD,14,71500,NA/OOS,NA/OOS,NA/OOS,4.1
4239,Acer Aspire E5-573 (NX.MVHSI.034) Laptop (15.6 Inch | Core i5 5th Gen | 4 GB | Linux | 1 TB HDD),Acer, Core i5 5th Gen ,Intel,4, Linux , 1 TB HDD,15.6,37757,NA/OOS,NA/OOS,NA/OOS,4.3
4240,MSI Creator 17 A10SF-872IN Laptop (17.3 Inch | Core i7 10th Gen | 32 GB | Windows 10 | 1 TB SSD),MSI, Core i7 10th Gen ,Intel,32, Windows 10 , 1 TB SSD,17.3,169990,NA/OOS,NA/OOS,NA/OOS,5
4241,ASUS ExpertBook P2451FB-EK0094 Laptop (14 Inch | Core i7 10th Gen | 8 GB | DOS | 1 TB HDD),ASUS, Core i7 10th Gen ,Intel,8, DOS , 1 TB HDD,14,139990,NA/OOS,139990,NA/OOS,3.3
4242,Lenovo Ideapad V130 (81HNA02RIH) Laptop (15.6 Inch | Core i5 8th Gen | 4 GB | DOS | 1 TB HDD),Lenovo, Core i5 8th Gen ,Intel,4, DOS , 1 TB HDD,15.6,48990,NA/OOS,NA/OOS,NA/OOS,
